Dataset,Model,Percentage of data in training,Train Accuracy,Test Accuracy
data/ErdosRenyi.csv,KNeigborsClassifier,0.5,1.0,1.0
data/ErdosRenyi.csv,AdaBoostClassifier,0.5,1.0,1.0
data/ErdosRenyi.csv,BaggingClassifier,0.5,1.0,0.9999508067689886
data/ErdosRenyi.csv,RandomForestTreeClassifier,0.5,1.0,1.0
data/ErdosRenyi.csv,DecisionTreeClassifier,0.7,1.0,1.0
data/ErdosRenyi.csv,GaussianNB,0.7,1.0,1.0
data/ErdosRenyi.csv,KNeigborsClassifier,0.7,1.0,1.0
data/ErdosRenyi.csv,AdaBoostClassifier,0.7,1.0,1.0
data/ErdosRenyi.csv,BaggingClassifier,0.7,1.0,1.0
data/ErdosRenyi.csv,RandomForestTreeClassifier,0.7,1.0,1.0
data/ErdosRenyi.csv,DecisionTreeClassifier,0.9,1.0,1.0
data/ErdosRenyi.csv,GaussianNB,0.9,1.0,1.0
data/ErdosRenyi.csv,KNeigborsClassifier,0.9,1.0,1.0
data/ErdosRenyi.csv,AdaBoostClassifier,0.9,1.0,1.0
data/ErdosRenyi.csv,BaggingClassifier,0.9,1.0,1.0
data/ErdosRenyi.csv,RandomForestTreeClassifier,0.9,1.0,1.0
data/BarabasiAlbert.csv,DecisionTreeClassifier,0.1,1.0,1.0
data/BarabasiAlbert.csv,GaussianNB,0.1,0.9989247311827957,0.9977699904428162
data/BarabasiAlbert.csv,KNeigborsClassifier,0.1,0.9996415770609319,0.9996017840076458
data/BarabasiAlbert.csv,AdaBoostClassifier,0.1,1.0,0.9989646384198789
data/BarabasiAlbert.csv,BaggingClassifier,0.1,1.0,1.0
data/BarabasiAlbert.csv,RandomForestTreeClassifier,0.1,1.0,1.0
data/BarabasiAlbert.csv,DecisionTreeClassifier,0.3,1.0,1.0
data/BarabasiAlbert.csv,GaussianNB,0.3,0.9982078853046595,0.9977472865041982
data/BarabasiAlbert.csv,KNeigborsClassifier,0.3,1.0,0.9999488019660046
data/BarabasiAlbert.csv,AdaBoostClassifier,0.3,0.985663082437276,0.9855621544132706
data/BarabasiAlbert.csv,BaggingClassifier,0.3,1.0,1.0
data/BarabasiAlbert.csv,RandomForestTreeClassifier,0.3,1.0,1.0
data/BarabasiAlbert.csv,DecisionTreeClassifier,0.5,1.0,1.0
data/BarabasiAlbert.csv,GaussianNB,0.5,0.9982080137624543,0.9980646548634506
data/BarabasiAlbert.csv,KNeigborsClassifier,0.5,1.0,0.9999283205504982
data/BarabasiAlbert.csv,AdaBoostClassifier,0.5,0.9871693785391729,0.9848756361551143
data/BarabasiAlbert.csv,BaggingClassifier,0.5,1.0,1.0
data/BarabasiAlbert.csv,RandomForestTreeClassifier,0.5,1.0,1.0
data/BarabasiAlbert.csv,DecisionTreeClassifier,0.7,1.0,1.0
data/BarabasiAlbert.csv,GaussianNB,0.7,0.9982591777174747,0.9984470194719867
