Dataset,Model,Percentage of data in training,Train Accuracy,Test Accuracy
data/ErdosRenyi.csv,DecisionTreeClassifier,0.3,1.0,1.0
data/ErdosRenyi.csv,GaussianNB,0.3,0.9990980649393244,0.999156711173577
data/ErdosRenyi.csv,KNeigborsClassifier,0.3,1.0,1.0
data/ErdosRenyi.csv,AdaBoostClassifier,0.3,1.0,0.9999648629655657
data/ErdosRenyi.csv,BaggingClassifier,0.3,1.0,0.9999648629655657
data/ErdosRenyi.csv,RandomForestTreeClassifier,0.3,1.0,1.0
data/ErdosRenyi.csv,DecisionTreeClassifier,0.5,1.0,1.0
data/ErdosRenyi.csv,GaussianNB,0.5,0.9991145218417946,0.9990653286107831
data/ErdosRenyi.csv,KNeigborsClassifier,0.5,1.0,1.0
data/ErdosRenyi.csv,AdaBoostClassifier,0.5,1.0,0.9999508067689886
data/ErdosRenyi.csv,BaggingClassifier,0.5,1.0,0.9999508067689886
data/ErdosRenyi.csv,RandomForestTreeClassifier,0.5,1.0,0.9999508067689886
data/ErdosRenyi.csv,DecisionTreeClassifier,0.7,1.0,1.0
data/ErdosRenyi.csv,GaussianNB,0.7,0.9991215432727784,0.9990981388866115
data/ErdosRenyi.csv,KNeigborsClassifier,0.7,1.0,1.0
data/ErdosRenyi.csv,AdaBoostClassifier,0.7,0.9999648617309111,1.0
data/ErdosRenyi.csv,BaggingClassifier,0.7,0.9999648617309111,1.0
data/ErdosRenyi.csv,RandomForestTreeClassifier,0.7,1.0,1.0
data/ErdosRenyi.csv,DecisionTreeClassifier,0.9,1.0,1.0
data/ErdosRenyi.csv,GaussianNB,0.9,0.9991801038535119,0.9987702902115101
data/ErdosRenyi.csv,KNeigborsClassifier,0.9,1.0,1.0
data/ErdosRenyi.csv,AdaBoostClassifier,0.9,1.0,1.0
data/ErdosRenyi.csv,BaggingClassifier,0.9,0.9999726701284504,1.0
data/ErdosRenyi.csv,RandomForestTreeClassifier,0.9,0.9999726701284504,1.0
data/BarabasiAlbert.csv,DecisionTreeClassifier,0.1,0.9917562724014337,0.9904428161834979
data/BarabasiAlbert.csv,GaussianNB,0.1,0.7921146953405018,0.7909366040140172
data/BarabasiAlbert.csv,KNeigborsClassifier,0.1,0.9548387096774194,0.9209143039184453
data/BarabasiAlbert.csv,AdaBoostClassifier,0.1,1.0,0.9976903472443454
data/BarabasiAlbert.csv,BaggingClassifier,0.1,0.9659498207885304,0.9656737814590634
data/BarabasiAlbert.csv,RandomForestTreeClassifier,0.1,0.9659498207885304,0.9656737814590634
data/BarabasiAlbert.csv,DecisionTreeClassifier,0.3,0.9899641577060931,0.9899139873028876
data/BarabasiAlbert.csv,GaussianNB,0.3,0.7977299880525687,0.7938767151341388
data/BarabasiAlbert.csv,KNeigborsClassifier,0.3,0.9793309438470729,0.9610382961294286
data/BarabasiAlbert.csv,AdaBoostClassifier,0.3,1.0,0.9991296334220766
data/BarabasiAlbert.csv,BaggingClassifier,0.3,0.9652329749103943,0.9659021093590006
data/BarabasiAlbert.csv,RandomForestTreeClassifier,0.3,0.9652329749103943,0.9659021093590006
data/BarabasiAlbert.csv,DecisionTreeClassifier,0.5,0.9911117482617734,0.9903949537667551
data/BarabasiAlbert.csv,GaussianNB,0.5,0.7939932621317468,0.7927030320407139
data/BarabasiAlbert.csv,KNeigborsClassifier,0.5,0.984588918357107,0.9731918858863164
data/BarabasiAlbert.csv,AdaBoostClassifier,0.5,1.0,0.9993548849544835
data/BarabasiAlbert.csv,BaggingClassifier,0.5,0.9666690559816501,0.9647337108451007
data/BarabasiAlbert.csv,RandomForestTreeClassifier,0.5,0.9666690559816501,0.9647337108451007
data/BarabasiAlbert.csv,DecisionTreeClassifier,0.7,0.9894014643387435,0.9882929160195915
data/BarabasiAlbert.csv,GaussianNB,0.7,0.7905381188879218,0.7874805877433998
data/BarabasiAlbert.csv,KNeigborsClassifier,0.7,0.9882238492652706,0.9784971926890456
data/BarabasiAlbert.csv,AdaBoostClassifier,0.7,1.0,0.9995221598375343
data/BarabasiAlbert.csv,BaggingClassifier,0.7,0.9664635707337054,0.9639230677338431
data/BarabasiAlbert.csv,RandomForestTreeClassifier,0.7,0.9664635707337054,0.9639230677338431
data/BarabasiAlbert.csv,DecisionTreeClassifier,0.9,0.9889291545537812,0.9903260480114654
data/BarabasiAlbert.csv,GaussianNB,0.9,0.7822468241009916,0.7724829810103906
data/BarabasiAlbert.csv,KNeigborsClassifier,0.9,0.9903627892158815,0.9810103905410247
data/BarabasiAlbert.csv,AdaBoostClassifier,0.9,0.9999203536298833,0.9992834109638122
data/BarabasiAlbert.csv,BaggingClassifier,0.9,0.9652741826291267,0.9695449659620208
data/BarabasiAlbert.csv,RandomForestTreeClassifier,0.9,0.9652741826291267,0.9695449659620208
